شکل فضای حالت: (6,)
اندازه فضای عمل: 20
تعداد PRV ها: 1
نام PRV ها: ['PRV1']
مقادیر مجاز PRV: [10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]
تعداد گره های تقاضا (Junctions): 6
شروع آموزش برای 50000 گام زمانی...
گام 4824/50000, اپیزود 67, پاداش اپیزود: -72000.00, اپسیلون: 0.6192
گام 4896/50000, اپیزود 68, پاداش اپیزود: -72000.00, اپسیلون: 0.6148
گام 4968/50000, اپیزود 69, پاداش اپیزود: -72000.00, اپسیلون: 0.6103
گام 5040/50000, اپیزود 70, پاداش اپیزود: -72000.00, اپسیلون: 0.6060
گام 5112/50000, اپیزود 71, پاداش اپیزود: -72000.00, اپسیلون: 0.6016
گام 5184/50000, اپیزود 72, پاداش اپیزود: -72000.00, اپسیلون: 0.5973
گام 5256/50000, اپیزود 73, پاداش اپیزود: -72000.00, اپسیلون: 0.5930
گام 5328/50000, اپیزود 74, پاداش اپیزود: -72000.00, اپسیلون: 0.5888
گام 5400/50000, اپیزود 75, پاداش اپیزود: -72000.00, اپسیلون: 0.5845
گام 5472/50000, اپیزود 76, پاداش اپیزود: -72000.00, اپسیلون: 0.5803
گام 5544/50000, اپیزود 77, پاداش اپیزود: -72000.00, اپسیلون: 0.5762
گام 5616/50000, اپیزود 78, پاداش اپیزود: -72000.00, اپسیلون: 0.5721
گام 5688/50000, اپیزود 79, پاداش اپیزود: -72000.00, اپسیلون: 0.5679
گام 5760/50000, اپیزود 80, پاداش اپیزود: -72000.00, اپسیلون: 0.5639
گام 5832/50000, اپیزود 81, پاداش اپیزود: -72000.00, اپسیلون: 0.5598
گام 5904/50000, اپیزود 82, پاداش اپیزود: -72000.00, اپسیلون: 0.5558
گام 5976/50000, اپیزود 83, پاداش اپیزود: -72000.00, اپسیلون: 0.5518
گام 6048/50000, اپیزود 84, پاداش اپیزود: -72000.00, اپسیلون: 0.5479
گام 6120/50000, اپیزود 85, پاداش اپیزود: -72000.00, اپسیلون: 0.5439
گام 6192/50000, اپیزود 86, پاداش اپیزود: -72000.00, اپسیلون: 0.5400
گام 6264/50000, اپیزود 87, پاداش اپیزود: -72000.00, اپسیلون: 0.5362
گام 6336/50000, اپیزود 88, پاداش اپیزود: -72000.00, اپسیلون: 0.5323
گام 6408/50000, اپیزود 89, پاداش اپیزود: -72000.00, اپسیلون: 0.5285
گام 6480/50000, اپیزود 90, پاداش اپیزود: -72000.00, اپسیلون: 0.5247
گام 6552/50000, اپیزود 91, پاداش اپیزود: -72000.00, اپسیلون: 0.5209
گام 6624/50000, اپیزود 92, پاداش اپیزود: -72000.00, اپسیلون: 0.5172
گام 6696/50000, اپیزود 93, پاداش اپیزود: -72000.00, اپسیلون: 0.5135
گام 6768/50000, اپیزود 94, پاداش اپیزود: -72000.00, اپسیلون: 0.5098
گام 6840/50000, اپیزود 95, پاداش اپیزود: -72000.00, اپسیلون: 0.5061
گام 6912/50000, اپیزود 96, پاداش اپیزود: -72000.00, اپسیلون: 0.5025
گام 6984/50000, اپیزود 97, پاداش اپیزود: -72000.00, اپسیلون: 0.4989
گام 7056/50000, اپیزود 98, پاداش اپیزود: -72000.00, اپسیلون: 0.4953
گام 7128/50000, اپیزود 99, پاداش اپیزود: -72000.00, اپسیلون: 0.4918
گام 7200/50000, اپیزود 100, پاداش اپیزود: -72000.00, اپسیلون: 0.4882
گام 7272/50000, اپیزود 101, پاداش اپیزود: -72000.00, اپسیلون: 0.4847
گام 7344/50000, اپیزود 102, پاداش اپیزود: -72000.00, اپسیلون: 0.4813
گام 7416/50000, اپیزود 103, پاداش اپیزود: -72000.00, اپسیلون: 0.4778
گام 7488/50000, اپیزود 104, پاداش اپیزود: -72000.00, اپسیلون: 0.4744
گام 7560/50000, اپیزود 105, پاداش اپیزود: -72000.00, اپسیلون: 0.4710
گام 7632/50000, اپیزود 106, پاداش اپیزود: -72000.00, اپسیلون: 0.4676
گام 7704/50000, اپیزود 107, پاداش اپیزود: -72000.00, اپسیلون: 0.4642
گام 7776/50000, اپیزود 108, پاداش اپیزود: -72000.00, اپسیلون: 0.4609
گام 7848/50000, اپیزود 109, پاداش اپیزود: -72000.00, اپسیلون: 0.4576
گام 7920/50000, اپیزود 110, پاداش اپیزود: -72000.00, اپسیلون: 0.4543
گام 7992/50000, اپیزود 111, پاداش اپیزود: -72000.00, اپسیلون: 0.4511
گام 8064/50000, اپیزود 112, پاداش اپیزود: -72000.00, اپسیلون: 0.4478
گام 8136/50000, اپیزود 113, پاداش اپیزود: -72000.00, اپسیلون: 0.4446
گام 8208/50000, اپیزود 114, پاداش اپیزود: -72000.00, اپسیلون: 0.4414
گام 8280/50000, اپیزود 115, پاداش اپیزود: -72000.00, اپسیلون: 0.4383
گام 8352/50000, اپیزود 116, پاداش اپیزود: -72000.00, اپسیلون: 0.4351
گام 8424/50000, اپیزود 117, پاداش اپیزود: -72000.00, اپسیلون: 0.4320
گام 8496/50000, اپیزود 118, پاداش اپیزود: -72000.00, اپسیلون: 0.4289
گام 8568/50000, اپیزود 119, پاداش اپیزود: -72000.00, اپسیلون: 0.4258
گام 8640/50000, اپیزود 120, پاداش اپیزود: -72000.00, اپسیلون: 0.4228
گام 8712/50000, اپیزود 121, پاداش اپیزود: -72000.00, اپسیلون: 0.4197
گام 8784/50000, اپیزود 122, پاداش اپیزود: -72000.00, اپسیلون: 0.4167
گام 8856/50000, اپیزود 123, پاداش اپیزود: -72000.00, اپسیلون: 0.4137
گام 8928/50000, اپیزود 124, پاداش اپیزود: -72000.00, اپسیلون: 0.4108
گام 9000/50000, اپیزود 125, پاداش اپیزود: -72000.00, اپسیلون: 0.4078
گام 9072/50000, اپیزود 126, پاداش اپیزود: -72000.00, اپسیلون: 0.4049
گام 9144/50000, اپیزود 127, پاداش اپیزود: -72000.00, اپسیلون: 0.4020
گام 9216/50000, اپیزود 128, پاداش اپیزود: -72000.00, اپسیلون: 0.3991
گام 9288/50000, اپیزود 129, پاداش اپیزود: -72000.00, اپسیلون: 0.3962
گام 9360/50000, اپیزود 130, پاداش اپیزود: -72000.00, اپسیلون: 0.3934
گام 9432/50000, اپیزود 131, پاداش اپیزود: -72000.00, اپسیلون: 0.3906
گام 9504/50000, اپیزود 132, پاداش اپیزود: -72000.00, اپسیلون: 0.3878
گام 9576/50000, اپیزود 133, پاداش اپیزود: -72000.00, اپسیلون: 0.3850
گام 9648/50000, اپیزود 134, پاداش اپیزود: -72000.00, اپسیلون: 0.3822
گام 9720/50000, اپیزود 135, پاداش اپیزود: -72000.00, اپسیلون: 0.3795
گام 9792/50000, اپیزود 136, پاداش اپیزود: -72000.00, اپسیلون: 0.3768
گام 9864/50000, اپیزود 137, پاداش اپیزود: -72000.00, اپسیلون: 0.3741
گام 9936/50000, اپیزود 138, پاداش اپیزود: -72000.00, اپسیلون: 0.3714
گام 10008/50000, اپیزود 139, پاداش اپیزود: -72000.00, اپسیلون: 0.3687
گام 10080/50000, اپیزود 140, پاداش اپیزود: -72000.00, اپسیلون: 0.3661
گام 10152/50000, اپیزود 141, پاداش اپیزود: -72000.00, اپسیلون: 0.3634
گام 10224/50000, اپیزود 142, پاداش اپیزود: -72000.00, اپسیلون: 0.3608
گام 10296/50000, اپیزود 143, پاداش اپیزود: -72000.00, اپسیلون: 0.3582
گام 10368/50000, اپیزود 144, پاداش اپیزود: -72000.00, اپسیلون: 0.3557
گام 10440/50000, اپیزود 145, پاداش اپیزود: -72000.00, اپسیلون: 0.3531
گام 10512/50000, اپیزود 146, پاداش اپیزود: -72000.00, اپسیلون: 0.3506
گام 10584/50000, اپیزود 147, پاداش اپیزود: -72000.00, اپسیلون: 0.3481
گام 10656/50000, اپیزود 148, پاداش اپیزود: -72000.00, اپسیلون: 0.3456
گام 10728/50000, اپیزود 149, پاداش اپیزود: -72000.00, اپسیلون: 0.3431
گام 10800/50000, اپیزود 150, پاداش اپیزود: -72000.00, اپسیلون: 0.3406
گام 10872/50000, اپیزود 151, پاداش اپیزود: -72000.00, اپسیلون: 0.3382
گام 10944/50000, اپیزود 152, پاداش اپیزود: -72000.00, اپسیلون: 0.3358
گام 11016/50000, اپیزود 153, پاداش اپیزود: -72000.00, اپسیلون: 0.3334
گام 11088/50000, اپیزود 154, پاداش اپیزود: -72000.00, اپسیلون: 0.3310
گام 11160/50000, اپیزود 155, پاداش اپیزود: -72000.00, اپسیلون: 0.3286
گام 11232/50000, اپیزود 156, پاداش اپیزود: -72000.00, اپسیلون: 0.3262
گام 11304/50000, اپیزود 157, پاداش اپیزود: -72000.00, اپسیلون: 0.3239
گام 11376/50000, اپیزود 158, پاداش اپیزود: -72000.00, اپسیلون: 0.3216
گام 11448/50000, اپیزود 159, پاداش اپیزود: -72000.00, اپسیلون: 0.3193
گام 11520/50000, اپیزود 160, پاداش اپیزود: -72000.00, اپسیلون: 0.3170
گام 11592/50000, اپیزود 161, پاداش اپیزود: -72000.00, اپسیلون: 0.3147
گام 11664/50000, اپیزود 162, پاداش اپیزود: -72000.00, اپسیلون: 0.3124
گام 11736/50000, اپیزود 163, پاداش اپیزود: -72000.00, اپسیلون: 0.3102
